external_id,name,brand,description,category_id,price,currency,unit_size,serving_size,servings_per_container,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,ingredients,allergens,dietary_tags,upc
SKU023,Diabetic Soup Mix 23,DiabetCare,Premium health product with nutritional benefits,soups,,USD,400g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500023
SKU024,Keto Avocado Spread 24,KetoLife,Premium health product with nutritional benefits,condiments,,USD,200g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500024
SKU025,Organic Quinoa Bowl 25,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,300g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500025
SKU026,Low-Sugar Protein Bar 26,FitLife,Premium health product with nutritional benefits,snacks,,USD,400g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500026
SKU027,Heart-Healthy Salmon 27,PureFish,Premium health product with nutritional benefits,protein,,USD,200g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500027
SKU028,Diabetic Soup Mix 28,DiabetCare,Premium health product with nutritional benefits,soups,,USD,300g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500028
SKU029,Keto Avocado Spread 29,KetoLife,Premium health product with nutritional benefits,condiments,,USD,400g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500029
SKU030,Organic Quinoa Bowl 30,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,200g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500030
SKU031,Low-Sugar Protein Bar 31,FitLife,Premium health product with nutritional benefits,snacks,,USD,300g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500031
SKU032,Heart-Healthy Salmon 32,PureFish,Premium health product with nutritional benefits,protein,,USD,400g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500032
SKU033,Diabetic Soup Mix 33,DiabetCare,Premium health product with nutritional benefits,soups,,USD,200g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500033
SKU034,Keto Avocado Spread 34,KetoLife,Premium health product with nutritional benefits,condiments,,USD,300g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500034
SKU035,Organic Quinoa Bowl 35,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,400g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500035
SKU036,Low-Sugar Protein Bar 36,FitLife,Premium health product with nutritional benefits,snacks,,USD,200g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500036
SKU037,Heart-Healthy Salmon 37,PureFish,Premium health product with nutritional benefits,protein,,USD,300g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500037
SKU038,Diabetic Soup Mix 38,DiabetCare,Premium health product with nutritional benefits,soups,,USD,400g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500038
SKU039,Keto Avocado Spread 39,KetoLife,Premium health product with nutritional benefits,condiments,,USD,200g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500039
SKU040,Organic Quinoa Bowl 40,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,300g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500040
SKU041,Low-Sugar Protein Bar 41,FitLife,Premium health product with nutritional benefits,snacks,,USD,400g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500041
SKU042,Heart-Healthy Salmon 42,PureFish,Premium health product with nutritional benefits,protein,,USD,200g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500042
SKU043,Diabetic Soup Mix 43,DiabetCare,Premium health product with nutritional benefits,soups,,USD,300g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500043
SKU044,Keto Avocado Spread 44,KetoLife,Premium health product with nutritional benefits,condiments,,USD,400g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500044
SKU045,Organic Quinoa Bowl 45,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,200g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500045
SKU046,Low-Sugar Protein Bar 46,FitLife,Premium health product with nutritional benefits,snacks,,USD,300g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500046
SKU047,Heart-Healthy Salmon 47,PureFish,Premium health product with nutritional benefits,protein,,USD,400g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500047
SKU048,Diabetic Soup Mix 48,DiabetCare,Premium health product with nutritional benefits,soups,,USD,200g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500048
SKU049,Keto Avocado Spread 49,KetoLife,Premium health product with nutritional benefits,condiments,,USD,300g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500049
SKU050,Organic Quinoa Bowl 50,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,400g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500050
SKU051,Low-Sugar Protein Bar 51,FitLife,Premium health product with nutritional benefits,snacks,,USD,200g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500051
SKU052,Heart-Healthy Salmon 52,PureFish,Premium health product with nutritional benefits,protein,,USD,300g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500052
SKU053,Diabetic Soup Mix 53,DiabetCare,Premium health product with nutritional benefits,soups,,USD,400g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500053
SKU054,Keto Avocado Spread 54,KetoLife,Premium health product with nutritional benefits,condiments,,USD,200g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500054
SKU055,Organic Quinoa Bowl 55,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,300g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500055
SKU056,Low-Sugar Protein Bar 56,FitLife,Premium health product with nutritional benefits,snacks,,USD,400g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500056
SKU057,Heart-Healthy Salmon 57,PureFish,Premium health product with nutritional benefits,protein,,USD,200g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500057
SKU058,Diabetic Soup Mix 58,DiabetCare,Premium health product with nutritional benefits,soups,,USD,300g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500058
SKU059,Keto Avocado Spread 59,KetoLife,Premium health product with nutritional benefits,condiments,,USD,400g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500059
SKU060,Organic Quinoa Bowl 60,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,200g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500060
SKU061,Low-Sugar Protein Bar 61,FitLife,Premium health product with nutritional benefits,snacks,,USD,300g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500061
SKU062,Heart-Healthy Salmon 62,PureFish,Premium health product with nutritional benefits,protein,,USD,400g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500062
SKU063,Diabetic Soup Mix 63,DiabetCare,Premium health product with nutritional benefits,soups,,USD,200g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500063
SKU064,Keto Avocado Spread 64,KetoLife,Premium health product with nutritional benefits,condiments,,USD,300g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500064
SKU065,Organic Quinoa Bowl 65,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,400g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500065
SKU066,Low-Sugar Protein Bar 66,FitLife,Premium health product with nutritional benefits,snacks,,USD,200g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500066
SKU067,Heart-Healthy Salmon 67,PureFish,Premium health product with nutritional benefits,protein,,USD,300g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500067
SKU068,Diabetic Soup Mix 68,DiabetCare,Premium health product with nutritional benefits,soups,,USD,400g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500068
SKU069,Keto Avocado Spread 69,KetoLife,Premium health product with nutritional benefits,condiments,,USD,200g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500069
SKU070,Organic Quinoa Bowl 70,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,300g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500070
SKU071,Low-Sugar Protein Bar 71,FitLife,Premium health product with nutritional benefits,snacks,,USD,400g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500071
SKU072,Heart-Healthy Salmon 72,PureFish,Premium health product with nutritional benefits,protein,,USD,200g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500072
SKU073,Diabetic Soup Mix 73,DiabetCare,Premium health product with nutritional benefits,soups,,USD,300g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500073
SKU074,Keto Avocado Spread 74,KetoLife,Premium health product with nutritional benefits,condiments,,USD,400g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500074
SKU075,Organic Quinoa Bowl 75,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,200g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500075
SKU076,Low-Sugar Protein Bar 76,FitLife,Premium health product with nutritional benefits,snacks,,USD,300g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500076
SKU077,Heart-Healthy Salmon 77,PureFish,Premium health product with nutritional benefits,protein,,USD,400g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500077
SKU078,Diabetic Soup Mix 78,DiabetCare,Premium health product with nutritional benefits,soups,,USD,200g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500078
SKU079,Keto Avocado Spread 79,KetoLife,Premium health product with nutritional benefits,condiments,,USD,300g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500079
SKU080,Organic Quinoa Bowl 80,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,400g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500080
SKU081,Low-Sugar Protein Bar 81,FitLife,Premium health product with nutritional benefits,snacks,,USD,200g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500081
SKU082,Heart-Healthy Salmon 82,PureFish,Premium health product with nutritional benefits,protein,,USD,300g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500082
SKU083,Diabetic Soup Mix 83,DiabetCare,Premium health product with nutritional benefits,soups,,USD,400g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500083
SKU084,Keto Avocado Spread 84,KetoLife,Premium health product with nutritional benefits,condiments,,USD,200g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500084
SKU085,Organic Quinoa Bowl 85,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,300g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500085
SKU086,Low-Sugar Protein Bar 86,FitLife,Premium health product with nutritional benefits,snacks,,USD,400g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500086
SKU087,Heart-Healthy Salmon 87,PureFish,Premium health product with nutritional benefits,protein,,USD,200g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500087
SKU088,Diabetic Soup Mix 88,DiabetCare,Premium health product with nutritional benefits,soups,,USD,300g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500088
SKU089,Keto Avocado Spread 89,KetoLife,Premium health product with nutritional benefits,condiments,,USD,400g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500089
SKU090,Organic Quinoa Bowl 90,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,200g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500090
SKU091,Low-Sugar Protein Bar 91,FitLife,Premium health product with nutritional benefits,snacks,,USD,300g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500091
SKU092,Heart-Healthy Salmon 92,PureFish,Premium health product with nutritional benefits,protein,,USD,400g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500092
SKU093,Diabetic Soup Mix 93,DiabetCare,Premium health product with nutritional benefits,soups,,USD,200g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500093
SKU094,Keto Avocado Spread 94,KetoLife,Premium health product with nutritional benefits,condiments,,USD,300g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500094
SKU095,Organic Quinoa Bowl 95,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,400g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500095
SKU096,Low-Sugar Protein Bar 96,FitLife,Premium health product with nutritional benefits,snacks,,USD,200g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500096
SKU097,Heart-Healthy Salmon 97,PureFish,Premium health product with nutritional benefits,protein,,USD,300g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500097
SKU098,Diabetic Soup Mix 98,DiabetCare,Premium health product with nutritional benefits,soups,,USD,400g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500098
SKU099,Keto Avocado Spread 99,KetoLife,Premium health product with nutritional benefits,condiments,,USD,200g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500099
SKU100,Organic Quinoa Bowl 100,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,300g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500100
